,video_id,video_title,upload_date,view_count,like_count,comment_count
57,VEjxlKBkZGM,Amazon Data Science Interview Question Walkthrough | How to Deal with Streaks in SQL,2022-02-08,10050,268,31
58,hMUf7DqG1nQ,SQL Basics: How to Join Multiple Tables in SQL and the Importance of LEFT JOIN vs INNER JOIN,2022-01-27,6268,127,8
59,ToEl_tpyoM4,Uber Data Science Python Interview Question Walkthrough,2022-01-10,21145,508,29
60,30hS-MjpU6E,SQL Syntax Best Practices: How to Structure Your SQL Code,2021-12-22,16837,678,51
61,Bgpp99iz0I0,Most Common Coding Mistakes on Data Science Interviews,2021-11-04,5269,225,31
62,GeJUvdkJKEc,Multiple Solutions to Data Scientist Interview Question From Amazon [Rolling Average],2021-10-11,10890,285,50
63,GGURenNfXI0,Multiple Approaches for Solving a Twitter Data Scientist Interview Question,2021-09-13,5836,213,36
64,PlpUo6bHsBQ,Advanced Facebook Data Science SQL interview question [RANK()],2021-08-09,27638,851,81
65,uY2wfR8Dkqo,5 Tips for a Successful Data Science Interview,2021-07-26,13117,309,40
66,yY7yau9j3xk,Data Science SQL Scenario Based Interview Question [Facebook] - Date Manipulation,2021-07-20,8085,194,32
67,i-E4pdU2qXM,Data Science SQL Interview Question Walkthrough [Microsoft] - Window Function: Ranking,2021-07-13,9377,340,25
68,T1UhSuKqy3A,Most Common Data Science SQL Interview Question from DoorDash [window functions amp; partitions],2021-06-15,15811,513,43
69,2iE3JgNTwVU,A Walkthrough of Data Science SQL Interview Question from Noom (Date Manipulations),2021-06-04,6110,188,30
70,RgKMbpEylWA,Comparing FAANG vs Non-FAANG Data Science Interview Questions,2021-05-24,3368,111,14
71,giGIPINLqJs,An Analysis of 900 Data Science Interview Questions | Data Science Interview Guide,2021-05-13,4963,211,13
72,77IVf0zgmwI,Importing a Pandas Dataframe to a Database in Python [For Your Data Science Project],2021-05-05,30320,932,102
73,xtbMCAVXDmU,Facebook and Microsoft Data Science SQL interview question walkthrough (advanced),2021-04-15,10832,317,61
74,fklHBWow8vE,Working with APIs in Python [For Your Data Science Project],2021-04-02,80831,3510,185
75,tNXliLTlrV8,Step-by-step Approach to Solving Any Data Science SQL Interview Question (Twitch),2021-03-24,13128,483,40
76,XRwxYOhHdE8,Facebook#39;s Most Common Data Science SQL Interview Question [2021 Interview Question and Answer],2021-03-10,38901,961,60
77,pV_mnZgzXEo,"Coding Concepts in Data Science Interviews in 2021 (Facebook, Twitch, Postmates)",2021-03-03,6062,291,33
78,c4Af2FcgamA,The One and Only Data Science Project You Need,2021-02-24,263490,15704,327
79,QenwDm5oWdU,Advanced Data Science SQL Interview Question [Amazon] (window functions amp; aliasing),2021-02-17,31213,1032,110
80,TYHWv1vT0Pk,Common Date Manipulations on Data Science SQL Interviews,2021-02-11,22171,829,81
81,0GpgMvyN0Fg,How I Learned Data Science (resources to get a job) in 2021,2021-02-04,19160,1179,50
82,VYeevsVj4fU,Advanced SQL Questions From Amazon (Handling complex logic in data science interviews),2021-01-27,28486,809,90
83,vLjAG9eXkcU,Solving Complex SQL Interview Questions [How to organize lengthy code solutions],2021-01-20,13788,425,67
84,lG0PbUq4wkg,Top Data Science Interview Questions in 2021 [3 concepts tested on all interviews],2021-01-13,6385,235,27
85,j8kGqAAIhxA,Top Data Science Interview Question And Answer Mistakes 2021 [Asked By Amazon],2021-01-06,5560,170,29
86,W_IERUwElkg,SQL Case Statements For Data Science Interviews in 2021,2020-12-28,43881,1468,87
87,eC7MdwKCCOE,Tricky Data Science Interview Question [By Facebook],2020-12-22,5163,171,35
88,XBE09l-UYTE,"SQL Window Functions on Data Science Interviews in 2021 | Asked By Airbnb, Netflix, Twitter, Uber",2020-12-17,77442,2551,168
89,C0hk-dZ9XSE,SQL Window Functions In a Data Science Interview Question by Airbnb in 2021,2020-12-10,5101,175,29
